阿公店,A kong tiàm
六輕,la̍k khin
搦權,la̍k khuân
慄慄掣,la̍k la̍k tshuah
搦屎搦尿,la̍k sái la̍k jiō
搦屎搦尿,la̍k sái la̍k liō
磟碡,la̍k ta̍k
納,la̍p
蠟,la̍p
衲,la̍p
納入,la̍p ji̍p
納入,la̍p li̍p
納數,la̍p siàu
納稅,la̍p suè
納稅,la̍p sè
納錢,la̍p tsînn
力,la̍t
栗,la̍t
力頭,la̍t thâu
力草,la̍t tsháu
栗子,la̍t tsí
落,la̍uh
絡,le
咧,leh
剺,le̍h
笠,le̍h
剺花,le̍h hue
剺肚,le̍h tōo
哩,li
離,li
離離落落,li li lak lak
哩哩囉囉,li li lo lo
遮,lia
遮風,lia hong
遮雨,lia hōo
遮日,lia li̍t
遮瞞,lia muâ
遮閘,lia tsa̍h
裂,liah
跡,liah
拈,liam
跕,liam
拈香,liam hiunn
拈鬮,liam khau
拈田嬰,liam tshân enn
拈田嬰,liam tshân inn
蔫,lian
喨,liang
喨仔,liang á
捏,liap
攝,liap
𥍉,liap
攝影,liap iánn
攝襇,liap kíng
攝屎,liap sái
掠,lia̍h
掠無頭摠,lia̍h bô thâu tsáng
掠交替,lia̍h kau thuè
掠交替,lia̍h kau thè
掠筋,lia̍h kin
掠篙泅,lia̍h ko siû
掠龜走鱉,lia̍h ku tsáu pih
掠筋,lia̍h kun
掠猴,lia̍h kâu
掠狂,lia̍h kông
掠龍,lia̍h lîng
掠龍的,lia̍h lîng ê
掠漏,lia̍h lāu
掠包,lia̍h pau
掠痧,lia̍h sua
掠沙筋,lia̍h sua kin
掠沙筋,lia̍h sua kun
掠坦橫,lia̍h thán huâinn
掠坦橫,lia̍h thán huînn
掠兔仔,lia̍h thòo á
掠直,lia̍h ti̍t
掠長補短,lia̍h tn̂g póo té
掠做,lia̍h tsuè
掠做,lia̍h tsò
掠準,lia̍h tsún
廿,lia̍p
捏,lia̍p
獵,lia̍p
粒,lia̍p
臘,lia̍p
廿一,lia̍p it
捏麵尪仔,lia̍p mī ang á
粒積,lia̍p tsik
粒子,lia̍p tsú
粒仔,lia̍p á
列,lia̍t
烈,lia̍t
熱,lia̍t
裂,lia̍t
熱舞,lia̍t bú
熱火,lia̍t hué
列舉,lia̍t kí
列舉,lia̍t kú
熱烈,lia̍t lia̍t
熱量,lia̍t liōng
熱戀,lia̍t luân
熱門,lia̍t mn̂g
熱心,lia̍t sim
列席,lia̍t si̍k
熱線,lia̍t suànn
熱嗽,lia̍t sàu
熱誠,lia̍t sîng
熱潮,lia̍t tiâu
熱毒,lia̍t to̍k
列車,lia̍t tshia
熱切,lia̍t tshiat
列出,lia̍t tshut
熱情,lia̍t tsîng
熱帶,lia̍t tài
熱度,lia̍t tōo
熱愛,lia̍t ài
列印,lia̍t ìn
哩,lih
慄,lik
啉,lim
啉湯,lim thng
啉酒,lim tsiú
啉酒醉,lim tsiú tsuì
啉水,lim tsuí
啉茶,lim tê
玲,lin
輪,lin
玲瑯鼓,lin long kóo
奶,ling
奶母,ling bú
奶母車,ling bú tshia
奶癌,ling gâm
奶帕仔,ling phè á
奶頭,ling thâu
奶喙仔,ling tshuì á
奶水,ling tsuí
奶茶,ling tê
略,lio̍h
略略仔,lio̍h lio̍h á
略仔,lio̍h á
六,lio̍k
弱,lio̍k
戮,lio̍k
掠,lio̍k
搙,lio̍k
略,lio̍k
綠,lio̍k
肉,lio̍k
若,lio̍k
褥,lio̍k
辱,lio̍k
錄,lio̍k
陸,lio̍k
六合,lio̍k ha̍p
六法全書,lio̍k huat tsuân su
陸橋,lio̍k kiô
陸軍,lio̍k kun
肉桂,lio̍k kuì
陸續,lio̍k sio̍k
六書,lio̍k su
弱勢,lio̍k sè
六畜,lio̍k thiok
弱點,lio̍k tiám
弱者,lio̍k tsiá
陸地,lio̍k tuē
陸地,lio̍k tē
溜,liu
鰡,liu
溜旋,liu suan
捻,liàm
輾,liàn
輾轉,liàn tńg
繞境,liàu kíng
抓耙仔,liàu pê á
惹,liá
惹事,liá sū
惹代誌,liá tāi tsì
斂,liám
染,liám
膁,liám
臉,liám
膁肚,liám tóo
撚,lián
碾,lián
臉,lián
蓮,lián
輦,lián
輪,lián
蓮霧,lián bū
撚匼笑,lián khap tshiò
輪框,lián khing
輦轎仔,lián kiō á
撚寶,lián pó
撚鑽,lián tsǹg
撚骰仔,lián tâu á
輪仔,lián á
了,liáu
擾,liáu
瞭,liáu
了尾仔囝,liáu bué á kiánn
了尾仔囝,liáu bé á kiánn
了然,liáu jiân
了工,liáu kang
了結,liáu kiat
了解,liáu kái
了了,liáu liáu
了然,liáu liân
擾亂,liáu luān
了不起,liáu put khí
了本,liáu pún
了錢,liáu tsînn
了後,liáu āu
廉,liâm
簷,liâm
簾,liâm
臁,liâm
苒,liâm
連,liâm
鯰,liâm
黏,liâm
鯰魚,liâm hî
鯰魚,liâm hû
黏膠,liâm ka
連鞭,liâm mi
黏膜,liâm mo̍oh
黏黐黐,liâm thi thi
黏塗,liâm thôo
嗹,liân
年,liân
憐,liân
槤,liân
然,liân
燃,liân
聯,liân
蓮,liân
蘭,liân
連,liân
鰱,liân
𦟪,liân
憐憫,liân bín
聯盟,liân bîng
聯誼,liân gî
聯合,liân ha̍p
蓮花,liân hue
蓮花金,liân hue kim
蓮花頭,liân hue thâu
連回,liân huê
鰱魚,liân hî
鰱魚,liân hû
連繫,liân hē
連日,liân ji̍t
連任,liân jīm
連環,liân khuân
聯考,liân khó
連結,liân kiat
聯軍,liân kun
連貫,liân kuàn
連連,liân liân
燃料,liân liāu
連日,liân li̍t
聯絡,liân lo̍k
連累,liân luī
連任,liân līm
蓮藕,liân ngāu
聯邦,liân pang
聯播,liân pòo
連苞頭,liân pôo thâu
連續,liân sio̍k
連續劇,liân sio̍k kio̍k
聯想,liân sióng
聯席會,liân si̍k huē
連紲,liân suà
連線,liân suànn
連鎖,liân só
連署,liân sú
連長,liân tiúnn
聯手,liân tshiú
連接,liân tsiap
聯招,liân tsiau
蓮蕉花,liân tsiau hue
蓮子,liân tsí
聯對,liân tuì
聯隊,liân tuī
連帶,liân tài
連動,liân tōng
然後,liân āu
涼,liâng
粱,liâng
涼風,liâng hong
涼腔,liâng khiang
涼勢,liâng sè
涼水,liâng tsuí
涼亭,liâng tîng
涼的,liâng ê
僚,liâu
嘹,liâu
寥,liâu
寮,liâu
撩,liâu
條,liâu
獠,liâu
療,liâu
皺,liâu
瞭,liâu
聊,liâu
蟯,liâu
蹽,liâu
遼,liâu
鐐,liâu
饒,liâu
鱙,liâu
療法,liâu huat
皺痕,liâu hûn
療養,liâu ióng
蹽溪仔,liâu khe á
蹽溪仔,liâu khue á
聊聊仔,liâu liâu á
蹽落去,liâu lo̍h khì
饒命,liâu miā
嘹拍,liâu phik
皺襞襞,liâu phé phé
饒赦,liâu sià
療程,liâu tîng
寮仔,liâu á
鱙仔魚,liâu á hû
躘,liòng
躘被,liòng phuē
躘被,liòng phē
瞭,lió
倆,lióng
兩,lióng
輛,lióng
兩岸,lióng huānn
兩光,lióng kong
兩難,lióng lân
兩性,lióng sìng
兩棲,lióng tshe
撩,liô
𠞭,liô
𠞭花,liô hue
撩油,liô iû
娘,liông
樑,liông
瓤,liông
絨,liông
良,liông
茸,liông
量,liông
隆,liông
龍,liông
良好,liông hó
龍鳳,liông hōng
龍骨,liông kut
龍脈,liông me̍h
良心,liông sim
良性,liông sìng
良知,liông ti
隆重,liông tiōng
絨仔布,liông á pòo
遛,liù
遛皮,liù phuê
遛疕仔,liù phí á
遛手,liù tshiú
扭,liú
柳,liú
紐,liú
綹,liú
鈕,liú
扭搦,liú la̍k
扭掠,liú lia̍h
鈕鈕仔,liú liú á
柳丁,liú ting
柳丁汁,liú ting tsiap
鈕仔,liú á
鈕仔空,liú á khang
㨨,liû
揉,liû
柔,liû
榆,liû
榴,liû
流,liû
琉,liû
留,liû
瘤,liû
硫,liû
餾,liû
鰇,liû
柔美,liû bí
留學,liû ha̍k
流域,liû hi̍k
流會,liû huē
流行,liû hîng
硫磺,liû hông
鰇魚,liû hû
鰇魚羹,liû hû kinn
鰇魚鬚,liû hû tshiu
流感,liû kám
榴槤,liû liân
流量,liû liōng
留戀,liû luân
流籠,liû lông
流浪,liû lōng
流露,liû lōo
柔軟,liû nńg
流標,liû pio
流失,liû sit
流速,liû sok
流線,liû suànn
流產,liû sán
流通,liû thong
流傳,liû thuân
流星,liû tshenn
流星,liû tshinn
流竄,liû tshuàn
流轉,liû tsuán
柔情,liû tsîng
流程,liû tîng
柔道,liû tō
流動,liû tōng
流動率,liû tōng lu̍t
流動性,liû tōng sìng
留意,liû ì
唸,liām
念,liām
捻,liām
殮,liām
唸謠,liām iâu
念經,liām king
唸歌,liām kua
念頭,liām thâu
念咒,liām tsiù
念珠,liām tsu
楝,liān
煉,liān
練,liān
鍊,liān
練字,liān jī
練球,liān kiû
練字,liān lī
練仙,liān sian
練痟話,liān siáu uē
練習,liān si̍p
鍊仔,liān á
亮,liāng
廖,liāu
料,liāu
繚,liāu
料理,liāu lí
料小,liāu siáu
料想,liāu sióng
料想袂到,liāu sióng buē kàu
料想袂到,liāu sióng bē kàu
繚索,liāu soh
料算,liāu sǹg
尿帕仔,liō phè á
尿苴仔,liō tsū á
尿苴仔𩛩,liō tsū á kauh
尿滓,liō tái
尿斗,liō táu
尿道,liō tō
亮,liōng
冗,liōng
諒,liōng
讓,liōng
輛,liōng
釀,liōng
量,liōng
諒解,liōng kái
量其約,liōng kî iok
冗剩,liōng siōng
量產,liōng sán
冗早,liōng tsá
諒情,liōng tsîng
讓渡,liōng tōo
餾,liū
餾粿,liū kué
餾粿,liū ké
裂,li̍h
裂開,li̍h khui
力,li̍k
勒,li̍k
匿,li̍k
壢,li̍k
暱,li̍k
曆,li̍k
栗,li̍k
歷,li̍k
溺,li̍k
碌,li̍k
綠,li̍k
肋,li̍k
錄,li̍k
靂,li̍k
力學,li̍k ha̍k
綠化,li̍k huà
綠卡,li̍k khah
歷練,li̍k liān
力量,li̍k liōng
歷來,li̍k lâi
綠色,li̍k sik
歷史,li̍k sú
綠竹,li̍k tik
綠竹筍,li̍k tik sún
歷代,li̍k tāi
綠豆鬼,li̍k tāu kuí
綠豆膨,li̍k tāu phòng
綠豆仔,li̍k tāu á
入,li̍p
立,li̍p
笠,li̍p
入木,li̍p bo̍k
入獄,li̍p ga̍k
立法,li̍p huat
入會,li̍p huē
立夏,li̍p hē
入口,li̍p kháu
入去,li̍p khì
入教,li̍p kàu
入境,li̍p kíng
入股,li̍p kóo
入殮,li̍p liām
入來,li̍p lâi
入門,li̍p mn̂g
入伍,li̍p ngóo
入耳,li̍p ní
入學,li̍p o̍h
入聲,li̍p siann
入心,li̍p sim
入選,li̍p suán
立冬,li̍p tang
立體,li̍p thé
入土,li̍p thóo
入場,li̍p tiûnn
立場,li̍p tiûnn
入侵,li̍p tshim
立秋,li̍p tshiu
立春,li̍p tshun
入厝,li̍p tshù
立志,li̍p tsì
入主,li̍p tsú
立委,li̍p uí
入圍,li̍p uî
立案,li̍p àn
入院,li̍p īnn
立院,li̍p īnn
暱,li̍t
日月蚶,li̍t gua̍t ham
日月蟶,li̍t gua̍t than
日夜,li̍t iā
日間,li̍t kan
日光燈,li̍t kong ting
日記,li̍t kì
日期,li̍t kî
日常,li̍t siông
日時仔,li̍t sî á
日頭花,li̍t thâu hue
日出,li̍t tshut
日子,li̍t tsí
日程,li̍t tîng
日後,li̍t āu
叨,lo
嘮,lo
囉,lo
囉嗦,lo so
落,loh
落昨日,loh tso̍h ji̍t
落昨日,loh tso̍h li̍t
落後日,loh āu ji̍t
落後日,loh āu li̍t
落後年,loh āu nî
橐,lok
漉,lok
橐仔,lok á
囊,long
瑯,long
龍,long
囉,looh
橐,lop
絡,lo̍h
落,lo̍h
落尾,lo̍h bué
落尾手,lo̍h bué tshiú
落尾,lo̍h bé
落尾手,lo̍h bé tshiú
落眠,lo̍h bîn
落幕,lo̍h bōo
落貨,lo̍h huè
落貨,lo̍h hè
落下,lo̍h hā
落雨,lo̍h hōo
落雨天,lo̍h hōo thinn
落入,lo̍h ji̍p
落跤氣,lo̍h kha khì
落去,lo̍h khì
落崎,lo̍h kiā
落價,lo̍h kè
落入,lo̍h li̍p
落湳,lo̍h làm
落來,lo̍h lâi
落南,lo̍h lâm
落人的喙,lo̍h lâng ê tshuì
落難,lo̍h lān
落軟,lo̍h nńg
落肥,lo̍h puî
落本,lo̍h pún
落雪,lo̍h seh
落霜,lo̍h sng
落山,lo̍h suann
落山風,lo̍h suann hong
落衰,lo̍h sue
落塗,lo̍h thôo
落車,lo̍h tshia
落手,lo̍h tshiú
落水,lo̍h tsuí
落葬,lo̍h tsòng
落船,lo̍h tsûn
落台,lo̍h tâi
落注,lo̍h tù
落喉,lo̍h âu
咯,lo̍k
樂,lo̍k
洛,lo̍k
漉,lo̍k
烙,lo̍k
碌,lo̍k
祿,lo̍k
絡,lo̍k
落,lo̍k
諾,lo̍k
轆,lo̍k
錄,lo̍k
陸,lo̍k
露,lo̍k
駱,lo̍k
鹿,lo̍k
樂園,lo̍k hn̂g
錄音,lo̍k im
錄音機,lo̍k im ki
錄音帶,lo̍k im tuà
錄影,lo̍k iánn
錄用,lo̍k iōng
鹿茸,lo̍k jiông
鹿角,lo̍k kak
鹿角龜,lo̍k kak ku
碌硞馬,lo̍k kho̍k bé
樂觀,lo̍k kuan
漉糊糜,lo̍k kôo bê
漉糊糜,lo̍k kôo muê
鹿茸,lo̍k liông
落伍,lo̍k ngóo
落魄,lo̍k phik
落實,lo̍k si̍t
落選,lo̍k suán
落成,lo̍k sîng
樂暢,lo̍k thiòng
漉喙,lo̍k tshuì
錄取,lo̍k tshú
錄製,lo̍k tsè
樂跎,lo̍k tô
駱駝,lo̍k tô
落第,lo̍k tē
鹿仔,lo̍k á
攄,lu
攄頭毛,lu thâu mn̂g
攄塗機,lu thôo ki
攄仔,lu á
捋,luah
埒,lua̍h
捋,lua̍h
熱,lua̍h
辣,lua̍h
捋頭毛,lua̍h thâu mn̂g
劣,lua̍t
魯,luh
圇,lun
甪,lut
卵,luán
暖,luán
耎,luán
軟,luán
軟弱,luán jio̍k
軟弱,luán lio̍k
籮,luâ
戀,luân
鑾,luân
鸞,luân
戀情,luân tsîng
戀愛,luân ài
詈,lué
餒,lué
餒志,lué tsì
瘰,luì
壘,luí
磊,luí
累,luí
蕊,luí
蕾,luí
累計,luí kè
累積,luí tsik
擂,luî
癗,luî
鐳,luî
雷,luî
雷公,luî kong
雷公性,luî kong sìng
擂鼓,luî kóo
擂缽,luî puah
雷射,luî siā
雷達,luî ta̍t
擂槌,luî thuî
瀨,luā
賴,luā
賴賴趖,luā luā sô
捋仔,luā á
亂,luān
戀,luān
亂碼,luān bé
亂源,luān guân
亂講,luān kóng
亂來,luān lâi
亂象,luān siōng
亂世,luān sè
亂使,luān sú
亂操操,luān tshau tshau
亂七八糟,luān tshi pa tsau
亂鐘仔,luān tsing á
內,luē
叡,luē
篱,luē
銳,luē
內幕,luē bōo
內涵,luē hâm
內容,luē iông
內閣,luē koh
內部,luē pōo
內心,luē sim
內政,luē tsìng
內情,luē tsîng
內在,luē tsāi
淚,luī
累,luī
縋,luī
類,luī
類型,luī hîng
類股,luī kóo
類別,luī pia̍t
類似,luī sū
律,lu̍t
率,lu̍t
律師,lu̍t su
湳,làm
𨂾,làm
湳塗,làm thôo
湳田,làm tshân
湳仔地,làm á tē
閬,làng
閬月,làng ge̍h
閬月,làng gue̍h
閬雨縫,làng hōo phāng
閬工,làng kang
閬港,làng káng
閬蹘,làng liâu
閬縫,làng phāng
落,làu
落䈄,làu ham
落風,làu hong
落勾,làu kau
落空車,làu khang tshia
落空逝,làu khang tsuā
落氣,làu khuì
落褲,làu khòo
落落,làu làu
落人,làu lâng
落跑,làu phâu
落杓,làu sia̍h
落翼仔,làu si̍t á
落屎,làu sái
落屎馬,làu sái bé
落屎星,làu sái tshenn
落屎星,làu sái tshinn
落胎,làu the
落吐症,làu thòo tsìng
落下頦,làu ē hâi
喇,lá
拉,lá
喇叭,lá pah
滓,lái
攬,lám
欖,lám
纜,lám
腩,lám
荏,lám
覽,lám
荏懶,lám nuā
荏身,lám sin
荏身命,lám sin miā
咱,lán
懶,lán
懶懶,lán lán
咱人,lán lâng
懶屍,lán si
攏,láng
朗,láng
籠,láng
籠面,láng bīn
攏權,láng khuân
攏褲,láng khòo
籠仔,láng á
佬,láu
扭,láu
粩,láu
老,láu
荖,láu
老練,láu liān
老板,láu pán
老牌,láu pâi
老實,láu si̍t
老早,láu tsá
老大,láu tuā
荖藤,láu tîn
佬仔,láu á
垃,lâ
膋,lâ
蜊,lâ
蟧,lâ
鯪,lâ
蟧蜈,lâ giâ
蟧蜈車,lâ giâ tshia
鯪鯉,lâ lí
拉圇仔燒,lâ lûn á sio
垃儳,lâ sâm
蜊仔,lâ á
來,lâi
梨,lâi
萊,lâi
來源,lâi guân
來回,lâi huê
來函,lâi hâm
來回,lâi hê
來去,lâi khì
來歷,lâi li̍k
來來去去,lâi lâi khì khì
來路,lâi lōo
來賓,lâi pin
來世,lâi sè
來洗,lâi sé
來電,lâi tiān
來自,lâi tsū
梨仔,lâi á
來往,lâi óng
南,lâm
嵐,lâm
楠,lâm
淋,lâm
男,lâm
籃,lâm
藍,lâm
襤,lâm
南方,lâm hong
男方,lâm hong
淋雨,lâm hōo
南區,lâm khu
南極,lâm ki̍k
南管,lâm kuán
男女,lâm lí
男女,lâm lú
南路鷹,lâm lōo ing
南北,lâm pak
南北二路,lâm pak jī lōo
南北二路,lâm pak lī lōo
南爿,lâm pîng
南部,lâm pōo
男性,lâm sìng
男士,lâm sū
淋碭,lâm thn̄g
男裝,lâm tsong
蝻蛇,lâm tsuâ
淋水,lâm tsuí
男子,lâm tsú
男子漢,lâm tsú hàn
楠仔,lâm á
㔂,lân
攔,lân
欄,lân
瀾,lân
蘭,lân
難,lân
零,lân
鱗,lân
難免,lân bián
難忘,lân bōng
蘭花,lân hue
㔂甘蔗,lân kam tsià
欄杆,lân kan
難關,lân kuan
零星,lân san
零星肉,lân san bah
零星錢,lân san tsînn
零星的,lân san ê
難得,lân tit
難題,lân tuê
難題,lân tê
人,lâng
礱,lâng
籠,lâng
聾,lâng
膿,lâng
人面,lâng bīn
人額,lâng gia̍h
人影,lâng iánn
人緣,lâng iân
人工,lâng kang
人客,lâng kheh
人懸漢大,lâng kuân hàn tuā
人人,lâng lâng
人命,lâng miā
人範,lâng pān
籠床,lâng sn̂g
人頭,lâng thâu
人才,lâng tsâi
劉,lâu
樓,lâu
流,lâu
留,lâu
鐃,lâu
流目屎,lâu ba̍k sái
樓尾頂,lâu bué tíng
樓尾頂,lâu bé tíng
流向,lâu hiòng
流血,lâu hueh
流血,lâu huih
流入,lâu ji̍p
樓跤,lâu kha
流汗,lâu kuānn
流汗流洘,lâu kuānn lâu khó
樓栱,lâu kông
流入,lâu li̍p
流瀾,lâu nuā
流鼻,lâu phīnn
流鼻水,lâu phīnn tsuí
流湯,lâu thng
樓梯,lâu thui
流豬哥瀾,lâu ti ko nuā
流凊汗,lâu tshìn kuānn
流水,lâu tsuí
樓層,lâu tsàn
流糍,lâu tsî
流豬哥瀾,lâu tu ko nuā
樓頂,lâu tíng
樓仔,lâu á
樓仔厝,lâu á tshù
礪,lè
儡,lé
嬭,lé
禮,lé
醴,lé
禮盒,lé a̍p
禮物,lé bu̍t
禮儀,lé gî
禮遇,lé gū
禮服,lé ho̍k
禮貌,lé māu
禮品,lé phín
禮拜,lé pài
禮拜日,lé pài ji̍t
禮拜日,lé pài li̍t
禮拜堂,lé pài tn̂g
禮數,lé sòo
禮堂,lé tn̂g
梨,lê
檸,lê
犁,lê
璃,lê
腡,lê
螺,lê
麗,lê
黎,lê
黎明,lê bîng
檸檬,lê bóng
犁田,lê tshân
螺仔,lê á
剺,lì
剺破,lì phuà
你,lí
俚,lí
力,lí
哩,lí
女,lí
子,lí
屢,lí
履,lí
旅,lí
李,lí
理,lí
裏,lí
裡,lí
里,lí
鯉,lí
里民,lí bîn
女方,lí hong
理化,lí huà
旅費,lí huì
履行,lí hîng
旅行,lí hîng
旅遊,lí iû
理由,lí iû
理工,lí kang
旅客,lí kheh
旅館,lí kuán
理監事,lí kàm sū
理解,lí kái
理念,lí liām
履歷,lí li̍k
履歷表,lí li̍k pió
理論,lí lūn
理想,lí sióng
旅社,lí siā
女性,lí sìng
理性,lí sìng
女神,lí sîn
理所當然,lí sóo tong jiân
理所當然,lí sóo tong liân
女士,lí sū
理事,lí sū
里長,lí tiúnn
女裝,lí tsong
理財,lí tsâi
女子,lí tsú
理智,lí tì
旅途,lí tôo
李仔,lí á
李仔鹹,lí á kiâm
李仔攕,lí á tshiám
忍,lím
臨,lím
臨臨仔,lím lím á
忍耐,lím nāi
忍心,lím sim
忍受,lím siū
忍者,lím tsiá
恁,lín
恁娘,lín niâ
恁爸,lín pē
伶,líng
冷,líng
嶺,líng
領,líng
冷漠,líng bo̍k
領域,líng hi̍k
冷風,líng hong
冷氣,líng khì
冷吱吱,líng ki ki
領教,líng kàu
伶俐,líng lī
冷門,líng mn̂g
冷盤,líng puânn
領先,líng sian
領袖,líng siù
冷嗽,líng sàu
領土,líng thóo
冷清,líng tshing
冷戰,líng tsiàn
冷水,líng tsuí
冷靜,líng tsīng
領隊,líng tuī
冷凍,líng tòng
冷淡,líng tām
領導,líng tō
兒,lî
厘,lî
尼,lî
狸,lî
猊,lî
璃,lî
簾,lî
籬,lî
縭,lî
而,lî
釐,lî
離,lî
驢,lî
狸猫,lî bâ
離奇,lî kî
籬笆,lî pa
離散,lî sàn
而且,lî tshiánn
離職,lî tsit
驢仔,lî á
任,lîm
壬,lîm
撏,lîm
林,lîm
淋,lîm
琳,lîm
臨,lîm
霖,lîm
林木,lîm bo̍k
林業,lîm gia̍p
臨機應變,lîm ki ìng piàn
臨急,lîm kip
臨檢,lîm kiám
臨時,lîm sî
臨時臨曜,lîm sî lîm iāu
臨時臨陣,lîm sî lîm tsūn
臨床,lîm tshn̂g
臨終,lîm tsiong
人,lîn
仁,lîn
憐,lîn
遴,lîn
鄰,lîn
鱗,lîn
麟,lîn
人物,lîn bu̍t
人民,lîn bîn
人文,lîn bûn
人望,lîn bōng
仁義,lîn gī
人和,lîn hô
人間,lîn kan
人家,lîn ke
人家厝仔,lîn ke tshù á
人格,lîn keh
人權,lîn khuân
人口,lîn kháu
人氣,lîn khì
人群,lîn kûn
鄰近,lîn kīn
鄰近,lîn kūn
人力,lîn li̍k
人類,lîn luī
仁仁仁,lîn lîn lîn
人倫,lîn lûn
人馬,lîn má
人心,lîn sim
人身,lîn sin
人生,lîn sing
人壽,lîn siū
人選,lîn suán
遴選,lîn suán
人世,lîn sè
人性,lîn sìng
人數,lîn sòo
人事,lîn sū
人士,lîn sū
仁丹,lîn tan
人體,lîn thé
人中,lîn tiong
人潮,lîn tiâu
鄰長,lîn tiúnn
人次,lîn tshù
人質,lîn tsit
人種,lîn tsióng
人際,lîn tsè
人情,lîn tsîng
人情世事,lîn tsîng sè sū
仁慈,lîn tsû
人造,lîn tsō
人道,lîn tō
人員,lîn uân
人為,lîn uî
仁愛,lîn ài
凌,lîng
寧,lîng
拎,lîng
玲,lîng
稜,lîng
綾,lîng
聆,lîng
能,lîng
苓,lîng
菱,lîng
薐,lîng
行,lîng
鈴,lîng
陵,lîng
零,lîng
靈,lîng
齡,lîng
龍,lîng
𦊓,lîng
靈敏,lîng bín
靈驗,lîng giām
能源,lîng guân
龍眼乾,lîng gíng kuann
龍蝦,lîng hê
靈魂,lîng hûn
菱角,lîng kak
靈巧,lîng khá
寧可,lîng khó
零件,lîng kiānn
靈骨塔,lîng kut thah
靈感,lîng kám
龍眼,lîng kíng
凌勒,lîng lik
能量,lîng liōng
能力,lîng li̍k
綾羅綢緞,lîng lô tiû tuān
能耐,lîng nāi
靈聖,lîng siànn
零售,lîng siū
靈丹,lîng tan
靈通,lîng thong
靈厝,lîng tshù
靈芝,lîng tsi
龍船,lîng tsûn
寧靜,lîng tsīng
凌遲,lîng tî
凌治,lîng tī
靈活,lîng ua̍h
靈位,lîng uī
鈴仔,lîng á
躼,lò
躼跤,lò kha
躼跤仔,lò kha á
挵,lòng
閬,lòng
挵球,lòng kiû
挵鼓,lòng kóo
挵門,lòng mn̂g
挵破,lòng phuà
挵鐘,lòng tsing
露水,lòo tsuí
佬,ló
咾,ló
惱,ló
潦,ló
瑙,ló
老,ló
腦,ló
荖,ló
潦草,ló tshó
老指,ló tsáinn
壟,lóng
攏,lóng
朗,lóng
籠,lóng
攏是,lóng sī
攏總,lóng tsóng
努,lóo
勞,lóo
惱,lóo
櫓,lóo
滷,lóo
硓,lóo
魯,lóo
滷肉,lóo bah
滷肉飯,lóo bah pn̄g
滷味,lóo bī
惱氣,lóo khì
硓𥑮石,lóo kóo tsio̍h
勞力,lóo la̍t
努力,lóo li̍k
滷麵,lóo mī
滷卵,lóo nn̄g
滷熟肉,lóo sio̍k bah
勞,lô
囉,lô
濁,lô
牢,lô
癆,lô
籮,lô
羅,lô
邏,lô
鑼,lô
勞煩,lô huân
羅漢跤仔,lô hàn kha á
勞工,lô kang
羅經,lô kenn
勞苦,lô khóo
勞基法,lô ki huat
勞改,lô kái
鑼鼓,lô kóo
勞力,lô li̍k
勞保,lô pó
勞心,lô sim
邏輯,lô tsi̍p
勞資,lô tsu
勞動,lô tōng
嚨,lông
囊,lông
廊,lông
榔,lông
櫳,lông
濃,lông
狼,lông
籠,lông
聾,lông
膿,lông
農,lông
郎,lông
農民,lông bîn
農民曆,lông bîn li̍k
農業,lông gia̍p
農會,lông huē
農藥,lông io̍h
郎君,lông kun
農具,lông kū
農曆,lông li̍k
農林,lông lîm
狼狽,lông puē
濃縮,lông sok
農場,lông tiûnn
狼毒,lông to̍k
農村,lông tshun
農作物,lông tsok bu̍t
農地,lông tuē
農地,lông tē
濃度,lông tōo
農委會,lông uí huē
櫳仔,lông á
櫳仔內,lông á lāi
奴,lôo
爐,lôo
蘆,lôo
螺,lôo
鱸,lôo
鸕,lôo
蘆薈,lôo huē
鱸魚,lôo hî
奴隸,lôo lē
鱸鰻,lôo muâ
螺絲,lôo si
螺絲絞,lôo si ká
螺絲釘,lôo si ting
蘆黍,lôo sué
蘆黍,lôo sé
蘆筍,lôo sún
爐丹,lôo tan
蘆竹,lôo tik
奴才,lôo tsâi
鸕鶿,lôo tsî
爐主,lôo tsú
蘆藤,lôo tîn
鑢,lù
鑢卡,lù khah
鑢仔,lù á
蠕,lùn
女,lú
愈,lú
旅,lú
鋁,lú
女方,lú hong
旅費,lú huì
旅行,lú hîng
旅遊,lú iû
女兒,lú jî
女人,lú jîn
旅客,lú kheh
旅館,lú kuán
女兒,lú lî
女人,lú lîn
乳名,lú miâ
女性,lú sìng
女神,lú sîn
女士,lú sū
女將,lú tsiòng
女裝,lú tsong
女子,lú tsú
旅途,lú tôo
女王,lú ông
忍,lún
懍,lún
碖,lún
忍尿,lún jiō
忍氣,lún khì
懍場,lún tiûnn
俞,lû
儒,lû
如,lû
愉,lû
挐,lû
渝,lû
瑜,lû
蠕,lû
驢,lû
如夫人,lû hu lîn
如何,lû hô
如今,lû kim
如果,lû kó
挐氅氅,lû tsháng tsháng
如此,lû tshú
如此如此,lû tshú lû tshú
如同,lû tông
如意,lû ì
倫,lûn
圇,lûn
淪,lûn
綸,lûn
輪,lûn
輪迴,lûn huê
淪陷,lûn hām
輪鬮,lûn khau
輪流,lûn liû
倫理,lûn lí
輪班,lûn pan
輪值,lûn ti̍t
輪椅,lûn í
抐,lā
曆日,lā ji̍t
內,lāi
利,lāi
鴟,lāi
內面,lāi bīn
內外,lāi guā
